Ticket Type, Issue Type, Category, Sub Category, Issue, Priority, L0 Response Time, L0 ResoultionTime, L0 Assignee,L1 Response Time, L1 ResoultionTime, L1 Assignee,L2 Response Time, L2 ResoultionTime, L2 Assignee,L3 Response Time, L3 ResoultionTime, L3 Assignee,L4 Response Time, L4 ResoultionTime, L4 Assignee,L5 Response Time, L5 ResoultionTime, L5 Assignee, Status, Client Escalation, Tenant Escalation
Proactive,Observation,Bagmane One Software,CRM,New Feature Request,P4,30,1440,Customer operator_L0,120,2880,Customer operator_L1,240,4320,Customer operator_L2,720,5160,Customer operator_L3,1800,6600,Customer operator_L3,2160,8040,Customer operator_L3," ""ACTIVE""",TRUE,TRUE
Reactive,Client Complaint,Security Services,Fire Fighting,Fire Hose Pipe/Hose Box/Nozzle Defective,P1,30,1440,Helpdesk_Executive_L0,120,2880,Building Manager_Campus Security Incharge_L1,240,4320,Campus Head_L2,720,5160,Cluster Lead_L3,1800,6600,Head_Security_L4,2160,8040,HOD_L5," ""ACTIVE""",TRUE,TRUE
Proactive,Observation,Bagmane One Software,Audit,Others,P4,30,1440,Customer operator_L0,120,2880,Customer operator_L1,240,4320,Customer operator_L2,720,5160,Customer operator_L3,1800,6600,Customer operator_L3,2160,8040,Customer operator_L3," ""ACTIVE""",TRUE,TRUE
Proactive,Observation,Security Services,Others,Others - Security - Entry Gate,P1,30,1440,Helpdesk_Executive_L0,120,2880,Building Manager_Campus Security Incharge_L1,240,4320,Campus Head_L2,720,5160,Cluster Lead_L3,1800,6600,Head_Security_L4,2160,8040,HOD_L5," ""ACTIVE""",TRUE,TRUE
Proactive,Observation,Bagmane One Software,CSAT,New Feature Request,P4,30,1440,Customer operator_L0,120,2880,Customer operator_L1,240,4320,Customer operator_L2,720,5160,Customer operator_L3,1800,6600,Customer operator_L3,2160,8040,Customer operator_L3," ""ACTIVE""",TRUE,TRUE
Reactive,Client Complaint,Security Services,Fire Fighting,Fire announcement,P1,30,1440,Helpdesk_Executive_L0,120,2880,Building Manager_Campus Security Incharge_L1,240,4320,Campus Head_L2,720,5160,Cluster Lead_L3,1800,6600,Head_Security_L4,2160,8040,HOD_L5," ""ACTIVE""",TRUE,TRUE
Proactive,Observation,Bagmane One Software,New Development,New Feature Request,P4,30,1440,Customer operator_L0,120,2880,Customer operator_L1,240,4320,Customer operator_L2,720,5160,Customer operator_L3,1800,6600,Customer operator_L3,2160,8040,Customer operator_L3," ""ACTIVE""",TRUE,TRUE
Proactive,Observation,Security Services,Fire Fighting,Smoke Detected,P1,30,1440,Helpdesk_Executive_L0,120,2880,Building Manager_Campus Security Incharge_L1,240,4320,Campus Head_L2,720,5160,Cluster Lead_L3,1800,6600,Head_Security_L4,2160,8040,HOD_L5," ""ACTIVE""",TRUE,TRUE
Proactive,Observation,Security Services,Others,Parking Issue,P1,30,1440,Helpdesk_Executive_L0,120,2880,Building Manager_Campus Security Incharge_L1,240,4320,Campus Head_L2,720,5160,Cluster Lead_L3,1800,6600,Head_Security_L4,2160,8040,HOD_L5," ""ACTIVE""",TRUE,TRUE
Proactive,Observation,Bagmane One Software,CRM,Major Bug,P4,30,1440,Customer operator_L0,120,2880,Customer operator_L1,240,4320,Customer operator_L2,720,5160,Customer operator_L3,1800,6600,Customer operator_L3,2160,8040,Customer operator_L3," ""ACTIVE""",TRUE,TRUE
Reactive,Client Complaint,Security Services,Fire Fighting,Smoke Detected,P1,30,1440,Helpdesk_Executive_L0,120,2880,Building Manager_Campus Security Incharge_L1,240,4320,Campus Head_L2,720,5160,Cluster Lead_L3,1800,6600,Head_Security_L4,2160,8040,HOD_L5," ""ACTIVE""",TRUE,TRUE
Proactive,Observation,Bagmane One Software,New Development,Functionality not working,P4,30,1440,Customer operator_L0,120,2880,Customer operator_L1,240,4320,Customer operator_L2,720,5160,Customer operator_L3,1800,6600,Customer operator_L3,2160,8040,Customer operator_L3," ""ACTIVE""",TRUE,TRUE
Proactive,Observation,Security Services,Fire Fighting,Fire announcement,P1,30,1440,Helpdesk_Executive_L0,120,2880,Building Manager_Campus Security Incharge_L1,240,4320,Campus Head_L2,720,5160,Cluster Lead_L3,1800,6600,Head_Security_L4,2160,8040,HOD_L5," ""ACTIVE""",TRUE,TRUE
Reactive,Client Complaint,Security Services,Fire Fighting,Extinguisher missing,P1,30,1440,Helpdesk_Executive_L0,120,2880,Building Manager_Campus Security Incharge_L1,240,4320,Campus Head_L2,720,5160,Cluster Lead_L3,1800,6600,Head_Security_L4,2160,8040,HOD_L5," ""ACTIVE""",TRUE,TRUE
Proactive,Observation,Bagmane One Software,CSAT,Functionality not working,P4,30,1440,Customer operator_L0,120,2880,Customer operator_L1,240,4320,Customer operator_L2,720,5160,Customer operator_L3,1800,6600,Customer operator_L3,2160,8040,Customer operator_L3," ""ACTIVE""",TRUE,TRUE
Proactive,Observation,Security Services,Fire Fighting,Others - Tech Services - Fire Extinguishers,P2,30,1440,Helpdesk_Executive_L0,120,2880,Building Manager_Campus Security Incharge_L1,240,4320,Campus Head_L2,720,5160,Cluster Lead_L3,1800,6600,Head_Security_L4,2160,8040,HOD_L5," ""ACTIVE""",TRUE,TRUE
Proactive,Observation,Safety Suggestion,Near Miss,Near Miss,P1,30,1440,Helpdesk_Executive_L0,120,2880,Building Manager - Tech_L1,240,4320,QHSE_Campus Head_ L2,720,5160,Campus Head_L3,1800,6600,Cluster Lead_L4,2160,8040,HOD_L5," ""ACTIVE""",TRUE,TRUE
Proactive,Observation,Safety Suggestion,Hazard Reporting,Hazard Reporting,P1,30,1440,Helpdesk_Executive_L0,120,2880,Building Manager - Tech_L1,240,4320,QHSE_Campus Head_ L2,720,5160,Campus Head_L3,1800,6600,Cluster Lead_L4,2160,8040,HOD_L5," ""ACTIVE""",TRUE,TRUE
Reactive,Client Complaint,Security Services,Fire Fighting,Leakage in fire sprinkler ,P1,30,1440,Helpdesk_Executive_L0,120,2880,Building Manager_Campus Security Incharge_L1,240,4320,Campus Head_L2,720,5160,Cluster Lead_L3,1800,6600,Head_Security_L4,2160,8040,HOD_L5," ""ACTIVE""",TRUE,TRUE
Reactive,Client Complaint,Safety Suggestion,Hazard Reporting,Hazard Reporting,P1,30,1440,Helpdesk_Executive_L0,120,2880,Building Manager - Tech_L1,240,4320,QHSE_Campus Head_ L2,720,5160,Campus Head_L3,1800,6600,Cluster Lead_L4,2160,8040,HOD_L5," ""ACTIVE""",TRUE,TRUE
Proactive,Observation,Security Services,Fire Fighting,Leakage in fire sprinkler ,P1,30,1440,Helpdesk_Executive_L0,120,2880,Building Manager_Campus Security Incharge_L1,240,4320,Campus Head_L2,720,5160,Cluster Lead_L3,1800,6600,Head_Security_L4,2160,8040,HOD_L5," ""ACTIVE""",TRUE,TRUE
Proactive,Observation,Bagmane One Software,User Management,Functionality not working,P4,30,1440,Customer operator_L0,120,2880,Customer operator_L1,240,4320,Customer operator_L2,720,5160,Customer operator_L3,1800,6600,Customer operator_L3,2160,8040,Customer operator_L3," ""ACTIVE""",TRUE,TRUE
